"","hostResponseHours","neighbourhoodCleansed","neighbourhoodGroupCleansed","accommodates","bathrooms","bedType","bedrooms","beds","TV","cancellationPolicy","cleaningFee","extraPeople","guestsIncluded","maximumNights","minimumNights","price","propertyType","roomType","securityDeposit","numberOfReviews","reviewScoresAccuracy","reviewScoresCheckin","reviewScoresCleanliness","reviewScoresCommunication","reviewScoresLocation","reviewScoresRating","reviewScoresValue","reviewsperMonth","checkIn24Hours","airConditioning","buzzerOrWirelessIntercom","cableTV","carbonMonoxideDetector","doorman","dryer","elevator","essentials","familyAndKidFriendly","fireExtinguisher","firstAidKit","freeParkingOnPremises","gym","hairdryer","hangers","heating","hottub","internet","iron","kitchen","laptopFriendlyWorkspace","lockOnBedroomDoor","petsAllowed","petsLiveOnThisProperty","pool","selfCheckIn","shampoo","smokeDetector","smokingAllowed","washer","wheelchairAccessible","wirelessInternet","hostHasProfilePic","hostIdentityVerified","hostIsSuperhost","instantBookable","isLocationExact","requireGuestPhoneVerification","requireGuestProfilePicture","featureCount","yearsAsHost"
"140",24,"SoHo","Manhattan",8,3,"Real Bed",4,6,1,"flexible",250,100,6,12,2,758.252807617188,"Apartment","Entire home/apt",0,9,10,10,10,10,10,98,10,0.82,"0","1","1","1","1","0","1","0","1","1","0","1","0","0","0","1","1","0","1","0","1","1","0","0","1","0","0","0","1","1","1","0","1","1","1","0","0","1","0","0",23,4
"424",1,"Gramercy","Manhattan",10,3,"Real Bed",4,4,0,"strict",450,12,4,1125,1,642.827453613281,"Apartment","Entire home/apt",800,23,9,10,9,9,9,88,9,2.41,"1","1","0","0","1","0","1","0","1","1","0","1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0","0",18,4
"462",1,"Upper West Side","Manhattan",10,6,"Real Bed",6,6,1,"flexible",250,0,1,1125,4,813.490234375,"House","Entire home/apt",0,2,10,10,10,10,10,100,10,0.21,"1","1","1","1","1","0","1","0","1","0","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","1","0","0","0","1","0","0",24,4
"583",72,"Washington Heights","Manhattan",2,1,"Real Bed",1,1,1,"flexible",0,0,1,1125,1,219.203704833984,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0",9,4
"692",12,"Chelsea","Manhattan",6,2,"Real Bed",2,2,1,"strict",299,0,1,1125,10,527.87939453125,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","0","0","1","0","1","1","1","1","0","0","0","0","1","1","1","0","0","1","1","1","1","1","0","0","0","1","1","0","1","0","1","1","0","0","1","1","0","0",22,3
"1171",24,"Chelsea","Manhattan",2,1,"Real Bed",1,2,1,"strict",80,0,1,1125,3,205.974502563477,"Apartment","Entire home/apt",0,15,10,10,10,10,10,93,9,1.88,"0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0",10,8
"1426",1,"Midtown","Manhattan",2,1,"Real Bed",0,1,1,"flexible",0,0,1,7,7,225.813125610352,"Timeshare","Private room",0,0,0,0,0,0,0,0,0,0,"0","1","0","0","1","0","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","0","0","1","0","1","1","0","1","0","1","1","1","0","0","1","0","0",25,4
"1639",24,"Upper East Side","Manhattan",16,6,"Real Bed",4,14,1,"strict",500,100,8,1125,1,733.033935546875,"Townhouse","Entire home/apt",500,29,10,9,9,10,9,97,9,1.24,"0","1","0","1","0","0","1","0","1","1","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","0","1","0","0",16,5
"1724",1,"Other","Manhattan",4,2.5,"Real Bed",2,2,1,"flexible",0,0,1,14,7,544.761657714844,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","0","1","1","0","1","1","1","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","1","0","1","1","1","1","0","0","0","1","0","0",17,5
"1809",1,"East Harlem","Manhattan",8,3.5,"Real Bed",5,5,1,"strict",250,0,1,1125,1,696.996154785156,"Apartment","Entire home/apt",0,1,10,10,10,10,10,100,10,0.03,"0","1","0","1","0","1","1","1","1","1","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","1","0","0",17,5
"1831",1,"East Village","Manhattan",2,1,"Real Bed",1,1,1,"flexible",0,0,1,1125,1,344.766723632812,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","0","1","0","1","1","1","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0",12,6
"2289",1,"Midtown","Manhattan",1,1,"Real Bed",1,1,0,"strict",0,0,1,1125,1,170.570648193359,"Loft","Shared room",0,0,0,0,0,0,0,0,0,0,"0","1","0","0","1","0","0","1","1","1","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0",12,3
"2512",1,"West Village","Manhattan",2,2,"Real Bed",1,1,1,"flexible",0,0,1,1125,3,368.011840820312,"Apartment","Entire home/apt",500,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","1","1","1","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","1","1","0","0","0","0","0","1","0","1","1","1","0","0","1","0","0",18,8
"2555",1,"Other","Manhattan",1,2,"Couch",0,1,0,"strict",250,0,1,1125,1,310.952911376953,"Loft","Entire home/apt",0,2,10,10,10,10,10,80,10,0.12,"0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","0",11,4
"2616",1,"Upper West Side","Manhattan",6,2,"Real Bed",2,4,1,"flexible",0,0,1,1125,1,515.48828125,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","0","1","1","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","1","0","0",14,5
"2809",1,"Kips Bay","Manhattan",2,1,"Real Bed",2,2,1,"flexible",0,0,1,1125,1,323.383728027344,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0",10,5
"2833",1,"Lower East Side","Manhattan",16,2,"Real Bed",2,2,0,"strict",0,0,15,1125,1,579.222351074219,"Loft","Entire home/apt",500,0,0,0,0,0,0,0,0,0,"1","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","1","1","0","1","1","1","1","1","0","1","1","0","0",28,7
"2965",1,"Upper West Side","Manhattan",1,1,"Real Bed",1,1,0,"flexible",0,0,1,1125,2,72.7753601074219,"Apartment","Private room",0,2,4,6,2,6,8,60,6,0.17,"0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","1","0","1","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0",11,4
"2970",1,"Other","Manhattan",4,1,"Real Bed",1,1,1,"strict",70,45,2,1125,90,194.391021728516,"Apartment","Entire home/apt",700,31,9,10,8,10,10,86,8,0.96,"0","1","1","0","0","1","1","1","1","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","1","1","1","0","0","0","0","0",16,5
"2996",24,"Other","Manhattan",4,2,"Real Bed",2,2,1,"strict",200,0,1,1125,2,516.069946289062,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","0","0","1","1","0","1","0","0","0","0","1","1","0","1","0","1","1","0","0","0","1","0","0",20,4
"3026",1,"Other","Manhattan",10,2,"Real Bed",4,4,1,"moderate",150,0,1,1125,1,546.359619140625,"Apartment","Entire home/apt",500,16,10,10,9,10,10,95,9,3.22,"1","1","1","0","1","0","1","0","1","1","0","0","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","0","1","0","1","1","1","0","0","1","0","0",25,8
"3117",1,"Greenwich Village","Manhattan",2,1,"Real Bed",1,1,1,"flexible",0,0,1,1125,1,243.047927856445,"Apartment","Private room",500,0,0,0,0,0,0,0,0,0,"0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0",8,5
"3118",12,"Greenwich Village","Manhattan",8,3.5,"Real Bed",3,4,1,"flexible",499,0,1,1125,10,670.370361328125,"Townhouse","Entire home/apt",0,1,8,10,10,10,10,80,10,0.12,"1","1","0","1","1","0","1","0","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","0","1","1","0","1","0","1","1","0","0","1","1","0","0",27,4
"3120",24,"Greenwich Village","Manhattan",6,2.5,"Real Bed",3,6,1,"moderate",350,250,6,180,14,667.77880859375,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","1","0","1","0","1","1","1","0","0","1","0","0",23,5
"3219",1,"Hell's Kitchen","Manhattan",1,2,"Real Bed",1,1,1,"flexible",0,0,1,1125,1,161.045745849609,"Apartment","Private room",0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0",11,7
"3391",1,"Hell's Kitchen","Manhattan",9,2,"Real Bed",4,8,1,"strict",180,15,2,1125,3,594.984802246094,"Apartment","Entire home/apt",600,57,9,10,10,9,10,91,9,3.56,"1","1","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","1","0","0","1","1","0","0",23,4
"3479",1,"West Village","Manhattan",5,2.5,"Real Bed",3,3,0,"flexible",250,0,1,14,3,734.127563476562,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","0","1","0","1","1","1","1","1","1","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0",17,4
"3492",1,"Chelsea","Manhattan",5,1,"Real Bed",2,2,1,"flexible",0,0,1,3,3,361.205139160156,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0",10,5
"3960",12,"Chelsea","Manhattan",6,2,"Real Bed",2,3,1,"strict",200,100,4,90,1,616.047424316406,"Apartment","Entire home/apt",0,33,10,9,9,9,10,97,9,0.55,"1","1","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","0","1","0","0","0","1","1","0","1","1","1","1","1","0","0","1","0","0",28,7
"4135",1,"Gramercy","Manhattan",8,4.5,"Real Bed",4,4,0,"flexible",150,0,1,1125,2,602.424133300781,"House","Entire home/apt",500,0,0,0,0,0,0,0,0,0,"0","1","1","0","0","0","1","0","1","1","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","1","0","0","1","0","1","1","1","0","0","0","0","0",18,3
"4534",1,"Other","Manhattan",6,3,"Real Bed",3,5,1,"moderate",250,0,1,1125,30,618.741577148438,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","1","1","0","0","1","0","0",24,4
"4713",1,"Other","Manhattan",1,1,"Real Bed",1,1,0,"flexible",0,0,1,3,3,91.7207260131836,"Apartment","Private room",0,30,10,10,10,10,10,97,10,1.14,"0","1","1","0","0","0","0","1","1","0","0","0","0","0","1","1","1","0","1","1","1","1","0","1","1","0","0","1","1","0","0","0","1","1","1","0","0","1","0","0",23,4
"4738",1,"Lower East Side","Manhattan",2,1,"Real Bed",1,1,0,"moderate",15,15,1,99,99,68.3775634765625,"Apartment","Private room",102,6,10,7,8,9,9,87,9,0.34,"1","0","1","0","0","0","0","0","1","1","0","1","1","0","1","1","1","0","1","1","1","1","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","1","0","0",19,7
"4978",1,"Upper East Side","Manhattan",4,1,"Real Bed",1,2,0,"flexible",0,0,1,1125,1,356.557464599609,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","1","0","1","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0",12,5
"5028",1,"West Village","Manhattan",4,2.5,"Real Bed",2,2,1,"strict",350,0,1,1125,3,637.929565429688,"Apartment","Entire home/apt",0,12,10,10,10,10,10,95,9,0.9,"1","1","1","1","1","0","1","0","1","1","0","0","0","0","1","1","1","0","1","1","1","1","0","1","0","0","0","1","1","0","1","0","1","1","0","0","0","1","0","0",24,5
"5094",1,"Chelsea","Manhattan",16,2,"Real Bed",1,1,1,"moderate",150,0,1,1125,1,341.001953125,"Loft","Private room",0,16,9,9,10,10,9,89,9,0.85,"0","1","1","0","1","1","0","1","0","1","1","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0",16,5
"5126",1,"East Harlem","Manhattan",4,1,"Real Bed",2,2,0,"strict",30,0,1,1125,5,120.385231018066,"Apartment","Entire home/apt",0,1,10,10,10,10,8,100,10,0.04,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0",8,8
"5339",1,"Lower East Side","Manhattan",4,2,"Real Bed",2,1,1,"strict",0,50,2,999,30,347.795745849609,"Apartment","Entire home/apt",500,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","0","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0",26,5
"5359",1,"Other","Manhattan",8,3,"Real Bed",4,4,1,"strict",280,0,1,365,3,818.241821289062,"Apartment","Entire home/apt",0,29,10,10,10,10,10,95,9,1.49,"1","1","0","1","1","1","1","1","1","1","0","0","0","1","1","1","1","0","1","1","1","1","0","0","0","0","0","1","1","0","1","1","1","1","1","1","0","1","0","0",26,4
"5469",1,"Hell's Kitchen","Manhattan",16,1,"Real Bed",1,1,1,"flexible",0,0,1,1125,1,351.059539794922,"Loft","Entire home/apt",0,4,10,10,10,10,10,100,9,0.39,"0","1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","1","1","1","0","0","1","0","0",20,6
"5534",1,"Upper West Side","Manhattan",5,2,"Real Bed",3,3,1,"flexible",100,0,11,1125,1,427.513519287109,"House","Entire home/apt",500,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0",10,7
"6194",24,"Chelsea","Manhattan",4,2,"Real Bed",2,2,1,"flexible",100,0,1,31,3,347.561981201172,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","1","0","0",15,4
"6198",1,"Chelsea","Manhattan",16,4.5,"Real Bed",6,14,1,"strict",600,35,12,1125,2,802.284484863281,"Townhouse","Entire home/apt",0,13,9,10,10,10,10,97,10,3.64,"1","1","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","0","1","0","1","1","1","0","0","1","0","0",31,7
"6263",24,"Other","Manhattan",4,2,"Real Bed",0,3,1,"moderate",200,0,4,366,2,471.365844726562,"Loft","Entire home/apt",0,2,10,10,10,10,10,100,10,0.36,"0","1","0","1","0","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","0","0","1","0","0","0","1","1","0","0","0","1","1","1","0","1","1","0","0",24,4
"6333",1,"Upper East Side","Manhattan",2,1,"Real Bed",1,1,1,"moderate",0,0,1,1125,1124,168.729309082031,"Apartment","Entire home/apt",0,4,9,9,10,10,9,95,9,0.16,"0","1","1","1","1","0","1","1","1","1","1","1","0","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","1","1","1",22,7
"6428",1,"Greenwich Village","Manhattan",4,1,"Real Bed",1,1,1,"flexible",0,0,1,1125,1,343.193725585938,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0",9,5
"6792",1,"Harlem","Manhattan",12,6.5,"Real Bed",6,7,1,"strict",350,30,10,29,3,655.854797363281,"House","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","0","1","1","0","1","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","0","1","0","1","1","0","0","1","1","0","0",30,8
"6942",72,"Lower East Side","Manhattan",10,2,"Real Bed",4,4,1,"strict",200,35,8,1125,2,588.646240234375,"Apartment","Entire home/apt",500,8,8,9,8,9,9,80,8,0.56,"1","1","1","0","1","0","1","0","0","1","1","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","0","0","1","0","1","0","1","1","1","0","0","1","0","0",20,4
"6992",12,"Other","Manhattan",16,1,"Airbed",0,1,0,"strict",250,0,1,30,1,429.075317382812,"Loft","Entire home/apt",0,2,7,10,10,10,10,80,9,0.13,"0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","1","1","1",17,7
"7017",24,"Other","Manhattan",5,2.5,"Real Bed",3,3,1,"flexible",0,0,1,1125,5,514.92626953125,"House","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","0","0","1","0","1","1","1","0","1","0","0","0","1","1","1","0","0","1","1","1","1","0","0","0","0","0","1","0","1","0","1","1","1","0","0","1","1","1",25,7
"7042",1,"Other","Manhattan",10,2,"Real Bed",4,4,1,"strict",125,0,1,1125,2,472.261871337891,"Apartment","Entire home/apt",500,27,9,9,8,9,10,88,9,2.78,"1","1","1","0","1","0","1","0","1","1","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","0","1","1","1","0","1","0","1","1","1","0","0","1","0","0",24,6
"7092",1,"SoHo","Manhattan",5,2,"Real Bed",2,2,1,"strict",100,0,4,1125,1,605.536254882812,"Loft","Entire home/apt",0,43,10,10,10,10,10,98,9,1.47,"1","1","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","1","1","1","0","1","0","0",28,8
"7527",1,"Chelsea","Manhattan",10,2,"Real Bed",4,4,1,"strict",250,50,1,1125,1,710.841979980469,"Apartment","Entire home/apt",0,7,9,10,9,9,9,97,9,0.6,"1","1","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","1","1","0","1","1","1","1","1","0","1","0","0","0",31,3
"7809",24,"SoHo","Manhattan",10,3,"Real Bed",3,6,1,"strict",395,100,1,330,2,746.397033691406,"Apartment","Entire home/apt",0,19,9,9,10,9,10,95,8,0.38,"1","1","1","1","1","0","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","0","0","0","1","1","0","1","0","1","1","1","0","0","0","0","0",24,8
"7937",12,"Hell's Kitchen","Manhattan",15,2,"Real Bed",1,2,1,"strict",200,50,10,1125,1,393.962493896484,"Apartment","Private room",0,0,0,0,0,0,0,0,0,0,"0","1","0","0","1","0","1","1","1","0","1","1","0","0","1","1","1","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","1","1","0","0","0","1","0","0",24,3
"7977",1,"Hell's Kitchen","Manhattan",4,1,"Real Bed",2,2,1,"flexible",0,0,1,1125,1,354.763885498047,"Apartment","Entire home/apt",350,0,0,0,0,0,0,0,0,0,"0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0",9,6
"8016",1,"Gramercy","Manhattan",6,1.5,"Real Bed",3,4,1,"flexible",0,0,1,1125,1,483.602874755859,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0",8,6
"8164",12,"Chelsea","Manhattan",1,1,"Real Bed",1,1,1,"flexible",0,0,1,1125,7,84.3900985717773,"Apartment","Private room",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","1","1","0","0","1","0","0","0",12,4
"8340",1,"Midtown","Manhattan",4,1,"Real Bed",1,1,1,"flexible",0,0,1,5,3,307.499633789062,"Apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,"0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0",11,5
"8383",24,"Other","Manhattan",16,3,"Real Bed",5,5,1,"flexible",0,0,1,1125,1,502.93212890625,"Apartment","Entire home/apt",0,3,10,10,8,10,8,80,10,0.14,"0","1","0","0","1","0","1","1","0","0","1","0","0","0","0","1","1","0","1","0","1","1","0","0","0","0","0","0","1","0","1","1","1","1","1","0","0","0","0","0",16,5
"8592",1,"East Village","Manhattan",8,3.5,"Real Bed",4,4,0,"strict",500,250,8,1125,1,757.868408203125,"House","Entire home/apt",0,12,10,10,10,10,10,100,10,0.41,"0","1","1","1","1","0","1","0","0","0","1","0","0","0","0","1","1","0","1","1","1","1","0","0","0","0","0","0","1","0","1","0","1","1","1","0","0","1","0","0",18,6
"8695",1,"Other","Manhattan",6,3.5,"Real Bed",3,4,1,"strict",250,50,4,1125,3,741.234008789062,"Apartment","Entire home/apt",0,14,9,10,8,9,10,89,9,2.12,"1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","0","0","1","1","1","0","1","0","1","1","1","1","0","1","0","0",35,4
"8839",1,"Harlem","Manhattan",2,2.5,"Real Bed",1,3,1,"strict",250,0,1,1125,1,182.277282714844,"Apartment","Private room",500,0,0,0,0,0,0,0,0,0,"0","1","1","1","1","0","1","0","1","1","0","1","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","1","1","0","1","1","0","0",24,7
